,full_name,description,topics,main_language,stars_count,forks_count,open_issues_count
0,freeCodeCamp/freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,"careers, certification, community, curriculum, d3, education, freecodecamp, hacktoberfest, javascript, learn-to-code, math, nodejs, nonprofits, programming, react, teachers",TypeScript,357493,30485,191
1,996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,,,264519,21483,16733
2,EbookFoundation/free-programming-books,:books: Freely available programming books,"books, education, hacktoberfest, list, resource",,256495,52609,57
3,jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.,"algorithm, algorithms, coding-interview, coding-interviews, computer-science, data-structures, interview, interview-prep, interview-preparation, programming-interviews, software-engineering, study-plan",,239599,64025,50
4,sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,"awesome, awesome-list, lists, resources, unicorns",,226963,24497,51
5,kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.","angular-roadmap, backend-roadmap, blockchain-roadmap, computer-science, dba-roadmap, developer-roadmap, devops-roadmap, frontend-roadmap, go-roadmap, java-roadmap, javascript-roadmap, nodejs-roadmap, python-roadmap, qa-roadmap, react-roadmap, roadmap, software-architect-roadmap, vue-roadmap",TypeScript,219066,31654,201
6,public-apis/public-apis,A collective list of free APIs,"api, apis, dataset, development, free, list, lists, open-source, public, public-api, public-apis, resources, software",Python,217199,24850,77
7,donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,"design, design-patterns, design-system, development, interview, interview-practice, interview-questions, programming, python, system, web, web-application, webapp",Python,203820,36668,338
8,vuejs/vue,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.","framework, frontend, javascript, vue",TypeScript,200850,33093,590
9,facebook/react,"A declarative, efficient, and flexible JavaScript library for building user interfaces.","declarative, frontend, javascript, library, react, ui",JavaScript,198076,41122,1099
10,codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.,"awesome-list, free, programming, tutorial-code, tutorial-exercises, tutorials",,174395,16559,268
11,tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,"deep-learning, deep-neural-networks, distributed, machine-learning, ml, neural-network, python, tensorflow",C++,169256,87491,2364
12,getify/You-Dont-Know-JS,A book series on JavaScript. @YDKJS on twitter.,"async, book, book-series, closures, education, es2015, es6, javascript, learn-to-code, programming, prototypes, training-materials, training-providers",,161523,31579,129
13,twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.","bootstrap, css, css-framework, html, javascript, sass, scss",JavaScript,160506,77567,373
14,CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,"algorithm, computer-science, cpp, interview, java, leetcode, python, system-design",,159059,49441,175
15,trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,"algorithm, algorithms, computer-science, data-structures, interview, interview-preparation, javascript, javascript-algorithms",JavaScript,155398,25897,276
16,ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,000+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.","cli, cli-app, hacktoberfest, oh-my-zsh, oh-my-zsh-plugin, oh-my-zsh-theme, ohmyzsh, plugin-framework, plugins, productivity, shell, terminal, theme, themes, zsh, zsh-configuration",Shell,152514,24751,702
17,TheAlgorithms/Python,All Algorithms implemented in Python,"algorithm, algorithm-competitions, algorithms-implemented, algos, community-driven, education, hacktoberfest, interview, learn, practice, python, searches, sorting-algorithms, sorts",Python,149072,38318,109
18,vinta/awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources","awesome, collections, python, python-framework, python-library, python-resources",Python,147649,22195,302
19,flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,"android, app-framework, cross-platform, dart, dart-platform, desktop, flutter, flutter-package, fuchsia, ios, linux-desktop, macos, material-design, mobile, mobile-development, skia, web, web-framework, windows",Dart,146621,23811,11326
20,torvalds/linux,Linux kernel source tree,,C,141679,45545,315
21,github/gitignore,A collection of useful .gitignore templates,"git, gitignore",,141029,80030,350
22,microsoft/vscode,Visual Studio Code,"editor, electron, hacktoberfest, microsoft, typescript, visual-studio-code",TypeScript,139393,24055,8159
23,Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,"algorithms, interview, java, jvm, mysql, redis, spring, system, system-design, zookeeper",Java,128872,42912,62
24,airbnb/javascript,JavaScript Style Guide,"arrow-functions, es2015, es2016, es2017, es2018, es6, eslint, javascript, linting, naming-conventions, style-guide, style-linter, styleguide, tc39",JavaScript,128847,24566,148
25,ossu/computer-science,:mortar_board: Path to a free self-taught education in Computer Science!,"awesome-list, computer-science, courses, curriculum",,128314,16983,18
26,jackfrued/Python-100-Days,Python - 100天从新手到大师,,Python,127856,47500,671
27,jlevy/the-art-of-command-line,"Master the command line, in one page","bash, documentation, linux, macos, unix, windows",,116974,12196,196
28,ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,,Python,115117,8365,4781
29,labuladong/fucking-algorithm,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. ","algorithms, computer-science, data-structures, dynamic-programming, dynamic-programming-algorithm, interview-questions, kmp, leetcode",Markdown,112101,21838,89
30,awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,"awesome, awesome-list, cloud, hosting, privacy, self-hosted, selfhosted",JavaScript,109128,6645,96
31,facebook/react-native,A framework for building native applications using React,,JavaScript,106132,22625,2334
32,golang/go,The Go programming language,"go, golang, language, programming-language",Go,106003,15640,7945
33,30-seconds/30-seconds-of-code,Short JavaScript code snippets for all your development needs,"awesome-list, education, es6-javascript, javascript, learn-to-code, learning-resources, nodejs, programming, snippets, snippets-collection",JavaScript,104937,10924,0
34,electron/electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS","c-plus-plus, chrome, css, electron, html, javascript, nodejs, v8, works-with-codespaces",C++,104599,14040,1018
35,d3/d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:","chart, charts, data-visualization, svg, visualization",JavaScript,103491,23213,3
36,facebook/create-react-app,Set up a modern web app by running one command.,"build-tools, react, zero-configuration",JavaScript,98015,25594,1852
37,axios/axios,Promise based HTTP client for the browser and node.js,"hacktoberfest, http-client, javascript, nodejs, promise",JavaScript,97404,10001,290
38,justjavac/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿,"android, angular, books, free, ios, javascript, kotlin, pdf, programming, python, react, react-native, swift, vue",,97194,26772,23
39,vercel/next.js,The React Framework,"blog, browser, compiler, components, hybrid, nextjs, node, react, server-rendering, ssg, static, static-site-generator, universal, vercel",JavaScript,96755,21306,1590
40,kubernetes/kubernetes,Production-Grade Container Scheduling and Management,"cncf, containers, go, kubernetes",Go,93940,34443,2485
41,nodejs/node,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,"javascript, js, linux, macos, mit, node, nodejs, runtime, windows",JavaScript,91672,24791,1688
42,avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software","awesome, awesome-list, go, golang, golang-library, hacktoberfest",Go,91397,10491,81
43,mrdoob/three.js,JavaScript 3D Library.,"3d, augmented-reality, canvas, html5, javascript, svg, virtual-reality, webaudio, webgl, webgl2, webgpu, webxr",JavaScript,87026,33376,486
44,denoland/deno,A modern runtime for JavaScript and TypeScript.,"deno, javascript, rust, typescript",Rust,86466,4657,1087
45,microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,"javascript, language, typechecker, typescript",TypeScript,86190,11198,5906
46,microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!","cmd, command-line, console, terminal, windows-console, windows-terminal, wsl",C++,86177,7576,1553
